wallet,credit_score,total_transactions,unique_assets,total_usd_volume,avg_transaction_size,median_transaction_size,deposit_ratio,borrow_ratio,repay_ratio,redeem_ratio,liquidation_ratio,activity_duration_days,transaction_frequency,consistent_usage,risk_indicators,diversification_score,leverage_indicator,repayment_behavior
0x00000000001accfa9cef68cf5371a23025b6d4b6,541.9424534629226,1,1,1987.6636548592714,1987.6636548592714,1987.6636548592714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x000000000051d07a4fb3bd10121a343d85818da6,508.29677326768547,1,1,285.69448036149265,285.69448036149265,285.69448036149265,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x000000000096026fb41fc39f9875d164bd82e2dc,411.94357354288644,2,1,0.005152310624158186,0.002576155312079093,0.002576155312079093,1.0,0.0,0.0,0.0,0.0,7.574131944444445,0.2640566621587549,0.5460686595384407,0.0,0.0,0.8,0.8
0x0000000000e189dd664b9ab08a33c4839953852c,508.71622745569863,17,4,1960.7229524339862,115.33664426082271,3.520280432012614,0.0,0.0,0.0,1.0,0.0,129.3277662037037,0.1314489571653419,0.0,0.0,0.9046415396486827,0.0,0.8
0x0000000002032370b971dabd36d72f3e5a7bf1ee,695.2480338037108,399,6,1950034.2933220102,4887.303993288246,367.5018379094104,0.6265664160401002,0.03759398496240601,0.010025062656641603,0.3258145363408521,0.0,132.8659027777778,3.003027802154323,0.0,0.0,0.9172587181383272,0.8,0.5381447403070924
0x000000000a38444e0a6e37d3b630d7e855a7cb13,779.5106939101277,25,5,51017.9979875225,2040.7199195009002,1505.2372718362574,0.28,0.32,0.2,0.2,0.0,39.28017361111111,0.6364533987937441,0.0,0.0,0.8989125528627667,1.0,1.0
0x000000003853fcedcd0355fec98ca3192833f00b,558.3914408719337,8,7,0.12006325681531027,0.015007907101913784,0.018160249291448577,1.0,0.0,0.0,0.0,0.0,7.889201388888889,1.0140443380323843,0.09672915392263509,0.0,0.979569764547061,0.8,0.8
0x000000003ce0cf2c037493b1dc087204bd7f713e,594.0037383111362,492,7,1317372.3255693205,2677.5860275799196,368.95191825838947,0.6280487804878049,0.06097560975609756,0.032520325203252036,0.2784552845528455,0.0,123.50150462962964,3.9837571329634045,0.0,0.0,0.8671621801245942,0.8,0.020459199814065035
0x000000007858e6f2668e1e06111cfa24403a5466,412.3090879973177,1,1,0.14216066648145406,0.14216066648145406,0.14216066648145406,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x00000001a0f57e850c9db68b4a9bc34677437c5c,427.6781845779175,1,1,1.7666525037857388,1.7666525037857388,1.7666525037857388,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,592.5076877481175,69,1,2796135.2727990923,40523.69960578395,18506.369343138267,0.37681159420289856,0.34782608695652173,0.13043478260869565,0.14492753623188406,0.0,30.65619212962963,2.2507687748117466,0.0,0.0,0.0,1.0,1.0
0x00000029ff545c86524ade7caf132527707948c4,819.2683893229278,47,4,16449184.13384241,349982.6411455832,299515.71228157723,0.2553191489361702,0.2553191489361702,0.2553191489361702,0.23404255319148937,0.0,2.104513888888889,22.332948358356706,0.0,0.0,0.940346349560717,1.0,0.9910821844441009
0x00000087c4cebffb95746d1935de7fbcab092f40,715.0128310021914,250,8,6716581.04430057,26866.32417720228,20132.49803968962,0.344,0.248,0.18,0.228,0.0,100.5072800925926,2.4873820062555354,0.0,0.0,0.2974978598715309,1.0,0.9775716597945323
0x000000e28faa823d5b53ff6c2922c28335840375,748.5951383650155,297,7,12246102.891125318,41232.66966708861,21934.023286426618,0.3602693602693603,0.2222222222222222,0.21212121212121213,0.2053872053872054,0.0,137.20600694444445,2.1646282594628463,0.0,0.0,0.829630119045852,1.0,0.7625216895675461
0x000006eee6e39015cb523aebdd4d0b1855aba682,737.8120355361308,28,7,275461.1464189608,9837.898086391458,3976.4579203703406,0.39285714285714285,0.14285714285714285,0.03571428571428571,0.32142857142857145,0.10714285714285714,41.2944212962963,0.6780576920813108,0.0,0.0,0.8267880045938416,0.8,0.9350662896312069
0x00000a9c78912badb92d73b6ed26456e11def5eb,427.2078692055637,1,1,1.6927543127773312,1.6927543127773312,1.6927543127773312,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x00001bc47f0973f794f79c16121cee879e272d6a,615.634839312234,4,2,53501.44012314356,13375.36003078589,13347.917439441093,0.0,0.0,0.0,1.0,0.0,47.00429398148148,0.085098608258554,0.5197859548749739,0.0,0.8112781244591328,0.0,0.8
0x00002b503a75998c97508916a74fdb41934fa030,745.1561441045487,147,7,9911474.803690977,67424.99866456447,30042.775991727718,0.1836734693877551,0.3197278911564626,0.30612244897959184,0.19047619047619047,0.0,125.32153935185185,1.172982719173947,0.0,0.0,0.821278449145304,1.0,0.8011727477050683
0x0000897253cc85f7547317eb2080b36b3255687a,624.3813839284427,2,1,931.7181620951549,465.85908104757743,465.85908104757743,0.5,0.0,0.0,0.5,0.0,3.5146064814814815,0.5690537505516001,0.9995041454098789,0.0,0.0,0.8,0.8
0x0000b252c943089fbba5554a1d196ef79bc77e4f,423.0224185961666,1,1,1.116218296466259,1.116218296466259,1.116218296466259,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x0000ce08fa224696a819877070bf378e8b131acf,530.0523824411081,14,4,13204.581400996449,943.1843857854607,935.6333187542471,0.21428571428571427,0.07142857142857142,0.0,0.7142857142857143,0.0,75.77993055555555,0.1847454846865604,0.0,0.0,0.8891641768657057,1.0,0.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,600.5340385114522,29,6,3085.9158252802777,106.41089052690613,25.30799282982923,0.3103448275862069,0.20689655172413793,0.2413793103448276,0.2413793103448276,0.0,79.51586805555556,0.36470707934343993,0.0,0.0,0.8710543211709884,1.0,0.38323914027119166
0x00016fc0c9f7620e920e1423fd455f9574f48025,536.292960364233,2,1,3.1457592760046476,1.5728796380023238,1.5728796380023238,1.0,0.0,0.0,0.0,0.0,1.6416782407407406,1.2182655226627,0.9970307094619794,0.0,0.0,0.8,0.8
0x0002761e848b24046a53d494847b11a3e1d36b09,422.0608377200725,1,1,1.0022621744374796,1.0022621744374796,1.0022621744374796,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.8,0.8
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,373.5445337844912,2,1,1.0112506095471125,0.5056253047735563,0.5056253047735563,1.0,0.0,0.0,0.0,0.0,7.143796296296296,0.27996319002501524,0.29303127167557097,0.0,0.0,0.8,0.8
0x0003816b25fd3d6c112eb65c089760fa3f791947,820.4690273937501,4,2,20134.71483690053,5033.6787092251325,5032.711388500011,0.25,0.25,0.25,0.25,0.0,0.001712962962962963,4.0,0.4915517265524402,0.0,1.0,0.8,1.0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,503.23458530998187,37,6,14501.089527697375,391.9213385864156,250.32661598285233,0.32432432432432434,0.13513513513513514,0.0,0.5405405405405406,0.0,100.84355324074075,0.366904961308444,0.0,0.0,0.7540554161425069,0.8,0.0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,652.8886509734702,2,1,2098.9873081803526,1049.4936540901763,1049.4936540901763,0.5,0.0,0.0,0.5,0.0,0.0009722222222222222,2.0,0.9999999208733192,0.0,0.0,0.8,0.8
0x0003f46779806fe779e7f30eec95dbdb4d45840b,549.8383398080357,24,2,7156.162418178757,298.17343409078154,267.7839929777454,0.3333333333333333,0.25,0.20833333333333334,0.20833333333333334,0.0,82.84640046296296,0.28969273095611875,0.0,0.0,0.41381685030363374,1.0,0.7033962502021598
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,678.0176589501549,10,2,3378.8655391903794,337.88655391903796,220.76966623965848,0.2,0.3,0.1,0.4,0.0,82.02820601851852,0.12190928566379254,0.0,0.0,0.9709505944546686,1.0,1.0
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,574.0816907988875,2,2,3260.072094374455,1630.0360471872275,1630.0360471872275,0.5,0.5,0.0,0.0,0.0,0.0024189814814814816,2.0,0.517736373973025,0.0,1.0,0.8,0.0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,552.9086866308371,6,1,116.0979391772614,19.349656529543566,22.653259187424077,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0043518518518518515,6.0,0.2508335827679268,0.0,0.0,1.0,1.0
